Number of cores: 152
Using device: cpu
Beginning training ...
Train Epoch: 0 	 Training Loss: 864.931702
Train Epoch: 0 	 Validation Loss: 987.625427
Train Epoch: 10 	 Training Loss: 847.843750
Train Epoch: 10 	 Validation Loss: 968.121277
Train Epoch: 20 	 Training Loss: 831.152283
Train Epoch: 20 	 Validation Loss: 949.075134
Train Epoch: 30 	 Training Loss: 814.890320
Train Epoch: 30 	 Validation Loss: 930.522583
Train Epoch: 40 	 Training Loss: 799.072876
Train Epoch: 40 	 Validation Loss: 912.478943
Train Epoch: 50 	 Training Loss: 783.700012
Train Epoch: 50 	 Validation Loss: 894.943115
Train Epoch: 60 	 Training Loss: 768.764282
Train Epoch: 60 	 Validation Loss: 877.905823
Train Epoch: 70 	 Training Loss: 754.252869
Train Epoch: 70 	 Validation Loss: 861.352234
Train Epoch: 80 	 Training Loss: 740.151306
Train Epoch: 80 	 Validation Loss: 845.265625
Train Epoch: 90 	 Training Loss: 726.444641
Train Epoch: 90 	 Validation Loss: 829.628906
Using device: cpu
Beginning training ...
Train Epoch: 0 	 Training Loss: 9.607265
Train Epoch: 0 	 Validation Loss: 10.739425
Train Epoch: 10 	 Training Loss: 9.369411
Train Epoch: 10 	 Validation Loss: 10.468775
Train Epoch: 20 	 Training Loss: 9.140537
Train Epoch: 20 	 Validation Loss: 10.208282
Train Epoch: 30 	 Training Loss: 8.921230
Train Epoch: 30 	 Validation Loss: 9.958590
Train Epoch: 40 	 Training Loss: 8.711616
Train Epoch: 40 	 Validation Loss: 9.719823
Train Epoch: 50 	 Training Loss: 8.511512
Train Epoch: 50 	 Validation Loss: 9.491761
Train Epoch: 60 	 Training Loss: 8.320530
Train Epoch: 60 	 Validation Loss: 9.273965
Train Epoch: 70 	 Training Loss: 8.138200
Train Epoch: 70 	 Validation Loss: 9.065911
Train Epoch: 80 	 Training Loss: 7.964037
Train Epoch: 80 	 Validation Loss: 8.867067
Train Epoch: 90 	 Training Loss: 7.797563
Train Epoch: 90 	 Validation Loss: 8.676891
Using device: cpu
Beginning training ...
Train Epoch: 0 	 Training Loss: 6795.698242
Train Epoch: 0 	 Validation Loss: 7109.154297
Train Epoch: 10 	 Training Loss: 6661.224121
Train Epoch: 10 	 Validation Loss: 6968.522461
Train Epoch: 20 	 Training Loss: 6529.864258
Train Epoch: 20 	 Validation Loss: 6831.190430
Train Epoch: 30 	 Training Loss: 6401.879883
