Number of cores: 152
Using device: cpu
Using device: cpu
Beginning training ...
Beginning training ...
Train Epoch: 0 	 Training Loss: 4.835050
Train Epoch: 0 	 Validation Loss: 5.007074
Train Epoch: 0 	 Training Loss: 2.722903
Train Epoch: 0 	 Validation Loss: 2.794236
Train Epoch: 10 	 Training Loss: 3.265480
Train Epoch: 10 	 Validation Loss: 3.402547
Train Epoch: 10 	 Training Loss: 2.155550
Train Epoch: 10 	 Validation Loss: 2.218514
Train Epoch: 20 	 Training Loss: 1.938752
Train Epoch: 20 	 Validation Loss: 1.990395
Train Epoch: 20 	 Training Loss: 2.580290
Train Epoch: 20 	 Validation Loss: 2.686848
Train Epoch: 30 	 Training Loss: 2.228564
Train Epoch: 30 	 Validation Loss: 2.313806
Train Epoch: 30 	 Training Loss: 1.848142
Train Epoch: 30 	 Validation Loss: 1.891671
Train Epoch: 40 	 Training Loss: 2.034078
Train Epoch: 40 	 Validation Loss: 2.104471
Train Epoch: 40 	 Training Loss: 1.809283
Train Epoch: 40 	 Validation Loss: 1.847310
Train Epoch: 50 	 Training Loss: 1.922525
Train Epoch: 50 	 Validation Loss: 1.982329
Train Epoch: 50 	 Training Loss: 1.792563
Train Epoch: 50 	 Validation Loss: 1.826920
Train Epoch: 60 	 Training Loss: 1.857610
Train Epoch: 60 	 Validation Loss: 1.909697
Train Epoch: 60 	 Training Loss: 1.785256
Train Epoch: 60 	 Validation Loss: 1.817212
Train Epoch: 70 	 Training Loss: 1.819916
Train Epoch: 70 	 Validation Loss: 1.866288
Train Epoch: 70 	 Training Loss: 1.781817
Train Epoch: 70 	 Validation Loss: 1.812251
Train Epoch: 80 	 Training Loss: 1.798385
Train Epoch: 80 	 Validation Loss: 1.840484
Train Epoch: 80 	 Training Loss: 1.779935
Train Epoch: 80 	 Validation Loss: 1.809436
Train Epoch: 90 	 Training Loss: 1.786444
Train Epoch: 90 	 Validation Loss: 1.825343
Train Epoch: 90 	 Training Loss: 1.778723
Train Epoch: 90 	 Validation Loss: 1.807670
Using device: cpu
Using device: cpu
Beginning training ...
Beginning training ...
Train Epoch: 0 	 Training Loss: 1.998186
Train Epoch: 0 	 Validation Loss: 1.844069
Train Epoch: 0 	 Training Loss: 2.721337
Train Epoch: 0 	 Validation Loss: 2.696986
Train Epoch: 10 	 Training Loss: 2.147635
Train Epoch: 10 	 Validation Loss: 2.115863
Train Epoch: 10 	 Training Loss: 1.862774
Train Epoch: 10 	 Validation Loss: 1.772140
Train Epoch: 20 	 Training Loss: 1.934595
Train Epoch: 20 	 Validation Loss: 1.903111
Train Epoch: 20 	 Training Loss: 1.830892
Train Epoch: 20 	 Validation Loss: 1.760449
Train Epoch: 30 	 Training Loss: 1.847549
Train Epoch: 30 	 Validation Loss: 1.817324
Train Epoch: 30 	 Training Loss: 1.814944
Train Epoch: 30 	 Validation Loss: 1.753719
Train Epoch: 40 	 Training Loss: 1.811367
Train Epoch: 40 	 Validation Loss: 1.781994
Train Epoch: 40 	 Training Loss: 1.803931
Train Epoch: 40 	 Validation Loss: 1.748870
Train Epoch: 50 	 Training Loss: 1.796694
Train Epoch: 50 	 Validation Loss: 1.767581
Train Epoch: 50 	 Training Loss: 1.796312
Train Epoch: 50 	 Validation Loss: 1.746171
Train Epoch: 60 	 Training Loss: 1.790991
Train Epoch: 60 	 Validation Loss: 1.761651
Train Epoch: 60 	 Training Loss: 1.791278
Train Epoch: 60 	 Validation Loss: 1.745154
Train Epoch: 70 	 Training Loss: 1.788830
Train Epoch: 70 	 Validation Loss: 1.758940
Train Epoch: 70 	 Training Loss: 1.788117
Train Epoch: 70 	 Validation Loss: 1.745211
Train Epoch: 80 	 Training Loss: 1.787969
Train Epoch: 80 	 Validation Loss: 1.757365
Train Epoch: 80 	 Training Loss: 1.786231
Train Epoch: 80 	 Validation Loss: 1.745840
Train Epoch: 90 	 Training Loss: 1.787565
Train Epoch: 90 	 Validation Loss: 1.756218
Train Epoch: 90 	 Training Loss: 1.785159
Train Epoch: 90 	 Validation Loss: 1.746686
Using device: cpu
Beginning training ...
Using device: cpu
Beginning training ...
Train Epoch: 0 	 Training Loss: 3.037820
Train Epoch: 0 	 Validation Loss: 3.082220
Train Epoch: 0 	 Training Loss: 2.051005
Train Epoch: 0 	 Validation Loss: 1.845950
Train Epoch: 10 	 Training Loss: 2.268925
Train Epoch: 10 	 Validation Loss: 2.319095
Train Epoch: 10 	 Training Loss: 1.895315
Train Epoch: 10 	 Validation Loss: 1.746858
Train Epoch: 20 	 Training Loss: 1.991208
Train Epoch: 20 	 Validation Loss: 2.034186
Train Epoch: 20 	 Training Loss: 1.857771
Train Epoch: 20 	 Validation Loss: 1.725093
Train Epoch: 30 	 Training Loss: 1.873681
Train Epoch: 30 	 Validation Loss: 1.909631
Train Epoch: 30 	 Training Loss: 1.839957
Train Epoch: 30 	 Validation Loss: 1.709502
Train Epoch: 40 	 Training Loss: 1.820919
Train Epoch: 40 	 Validation Loss: 1.851319
Train Epoch: 40 	 Training Loss: 1.826878
Train Epoch: 40 	 Validation Loss: 1.694764
Train Epoch: 50 	 Training Loss: 1.816759
Train Epoch: 50 	 Validation Loss: 1.682589
Train Epoch: 50 	 Training Loss: 1.796805
Train Epoch: 50 	 Validation Loss: 1.822973
Train Epoch: 60 	 Training Loss: 1.809254
Train Epoch: 60 	 Validation Loss: 1.673595
Train Epoch: 60 	 Training Loss: 1.785658
Train Epoch: 60 	 Validation Loss: 1.808589
Train Epoch: 70 	 Training Loss: 1.803974
Train Epoch: 70 	 Validation Loss: 1.667463
