Number of cores: 152
Using device:  cpu
Using device:  cpu
Beginning training ...
Beginning training ...
Train Epoch: 0 	 Training Loss: 31597.781395
Train Epoch: 0 	 Validation Loss: 28866.015234
Train Epoch: 0 	 Training Loss: 3.457319
Train Epoch: 0 	 Validation Loss: 3.667798
Train Epoch: 10 	 Training Loss: 2.619743
Train Epoch: 10 	 Validation Loss: 2.784695
Train Epoch: 10 	 Training Loss: 19770.394784
Train Epoch: 10 	 Validation Loss: 18164.953125
Train Epoch: 20 	 Training Loss: 2.339617
Train Epoch: 20 	 Validation Loss: 2.465343
Train Epoch: 20 	 Training Loss: 13510.188079
Train Epoch: 20 	 Validation Loss: 12462.153320
Train Epoch: 30 	 Training Loss: 2.225020
Train Epoch: 30 	 Validation Loss: 2.324805
Train Epoch: 30 	 Training Loss: 9790.983525
Train Epoch: 30 	 Validation Loss: 9056.049414
Train Epoch: 40 	 Training Loss: 2.174080
Train Epoch: 40 	 Validation Loss: 2.256945
Train Epoch: 40 	 Training Loss: 7393.271412
Train Epoch: 40 	 Validation Loss: 6851.815527
Train Epoch: 50 	 Training Loss: 2.150495
Train Epoch: 50 	 Validation Loss: 2.222134
Train Epoch: 50 	 Training Loss: 5752.952347
Train Epoch: 50 	 Validation Loss: 5339.566895
Train Epoch: 60 	 Training Loss: 2.139020
Train Epoch: 60 	 Validation Loss: 2.203084
Train Epoch: 60 	 Training Loss: 4579.365479
Train Epoch: 60 	 Validation Loss: 4255.233447
Train Epoch: 70 	 Training Loss: 2.132838
Train Epoch: 70 	 Validation Loss: 2.191722
Train Epoch: 70 	 Training Loss: 3709.950494
Train Epoch: 70 	 Validation Loss: 3450.543066
Train Epoch: 80 	 Training Loss: 2.128924
Train Epoch: 80 	 Validation Loss: 2.184219
Train Epoch: 80 	 Training Loss: 3047.796757
Train Epoch: 80 	 Validation Loss: 2836.820117
Train Epoch: 90 	 Training Loss: 2.126010
Train Epoch: 90 	 Validation Loss: 2.178771
Train Epoch: 90 	 Training Loss: 2532.071045
Train Epoch: 90 	 Validation Loss: 2358.261597
Using device:  cpu
Using device:  cpu
Beginning training ...
Beginning training ...
Train Epoch: 0 	 Training Loss: 3.402363
Train Epoch: 0 	 Validation Loss: 3.148122
Train Epoch: 0 	 Training Loss: 3.453154
Train Epoch: 0 	 Validation Loss: 3.451636
Train Epoch: 10 	 Training Loss: 2.595908
Train Epoch: 10 	 Validation Loss: 2.438341
Train Epoch: 10 	 Training Loss: 2.573560
Train Epoch: 10 	 Validation Loss: 2.638870
Train Epoch: 20 	 Training Loss: 2.292863
Train Epoch: 20 	 Validation Loss: 2.361480
Train Epoch: 20 	 Training Loss: 2.317476
Train Epoch: 20 	 Validation Loss: 2.205608
Train Epoch: 30 	 Training Loss: 2.201505
Train Epoch: 30 	 Validation Loss: 2.115062
Train Epoch: 30 	 Training Loss: 2.183582
Train Epoch: 30 	 Validation Loss: 2.246088
Train Epoch: 40 	 Training Loss: 2.136615
Train Epoch: 40 	 Validation Loss: 2.192804
Train Epoch: 40 	 Training Loss: 2.149455
Train Epoch: 40 	 Validation Loss: 2.078164
Train Epoch: 50 	 Training Loss: 2.115111
Train Epoch: 50 	 Validation Loss: 2.166359
Train Epoch: 50 	 Training Loss: 2.125074
Train Epoch: 50 	 Validation Loss: 2.063205
