Number of cores: 152
Using device:  cpu
Using device:  cpu
Beginning training ...
Train Epoch: 0 	 Training Loss: 2.180657
Train Epoch: 0 	 Validation Loss: 2.067240
Beginning training ...
Train Epoch: 0 	 Training Loss: 1694.430942
Train Epoch: 0 	 Validation Loss: 1357.530322
Train Epoch: 10 	 Training Loss: 2.056983
Train Epoch: 10 	 Validation Loss: 1.999107
Train Epoch: 10 	 Training Loss: 1066.833772
Train Epoch: 10 	 Validation Loss: 860.691809
Train Epoch: 20 	 Training Loss: 2.023185
Train Epoch: 20 	 Validation Loss: 1.978113
Train Epoch: 20 	 Training Loss: 732.939698
Train Epoch: 20 	 Validation Loss: 594.168591
Train Epoch: 30 	 Training Loss: 1.999951
Train Epoch: 30 	 Validation Loss: 1.959714
Train Epoch: 30 	 Training Loss: 533.458390
Train Epoch: 30 	 Validation Loss: 433.991687
Train Epoch: 40 	 Training Loss: 1.982356
Train Epoch: 40 	 Validation Loss: 1.945185
Train Epoch: 40 	 Training Loss: 404.328819
Train Epoch: 40 	 Validation Loss: 329.855707
Train Epoch: 50 	 Training Loss: 315.721595
Train Epoch: 50 	 Validation Loss: 258.162842
Train Epoch: 50 	 Training Loss: 1.969508
Train Epoch: 50 	 Validation Loss: 1.934867
Train Epoch: 60 	 Training Loss: 252.182194
Train Epoch: 60 	 Validation Loss: 206.619107
Train Epoch: 60 	 Training Loss: 1.960239
Train Epoch: 60 	 Validation Loss: 1.927772
Train Epoch: 70 	 Training Loss: 205.030249
Train Epoch: 70 	 Validation Loss: 168.288931
Train Epoch: 70 	 Training Loss: 1.953438
Train Epoch: 70 	 Validation Loss: 1.922805
Train Epoch: 80 	 Training Loss: 169.072502
Train Epoch: 80 	 Validation Loss: 139.008485
Train Epoch: 80 	 Training Loss: 1.948262
Train Epoch: 80 	 Validation Loss: 1.919152
Train Epoch: 90 	 Training Loss: 141.039884
Train Epoch: 90 	 Validation Loss: 116.148842
Train Epoch: 90 	 Training Loss: 1.944149
Train Epoch: 90 	 Validation Loss: 1.916302
Using device:  cpu
Using device:  cpu
Beginning training ...
Beginning training ...
Train Epoch: 0 	 Training Loss: 2.095466
Train Epoch: 0 	 Validation Loss: 2.120887
Train Epoch: 0 	 Training Loss: 9.715108
Train Epoch: 0 	 Validation Loss: 8.002610
Train Epoch: 10 	 Training Loss: 1.993916
Train Epoch: 10 	 Validation Loss: 2.008533
Train Epoch: 10 	 Training Loss: 5.780113
Train Epoch: 10 	 Validation Loss: 4.836819
Train Epoch: 20 	 Training Loss: 1.963322
Train Epoch: 20 	 Validation Loss: 1.970038
Train Epoch: 20 	 Training Loss: 4.186436
Train Epoch: 20 	 Validation Loss: 3.561873
Train Epoch: 30 	 Training Loss: 1.943802
Train Epoch: 30 	 Validation Loss: 1.944350
Train Epoch: 30 	 Training Loss: 3.346467
Train Epoch: 30 	 Validation Loss: 2.897507
Train Epoch: 40 	 Training Loss: 1.930918
Train Epoch: 40 	 Validation Loss: 1.926174
Train Epoch: 40 	 Training Loss: 2.849518
Train Epoch: 40 	 Validation Loss: 2.509817
Train Epoch: 50 	 Training Loss: 2.536649
Train Epoch: 50 	 Validation Loss: 2.269729
Train Epoch: 50 	 Training Loss: 1.922583
Train Epoch: 50 	 Validation Loss: 1.913345
Train Epoch: 60 	 Training Loss: 2.332021
Train Epoch: 60 	 Validation Loss: 2.115927
Train Epoch: 60 	 Training Loss: 1.917117
Train Epoch: 60 	 Validation Loss: 1.904172
Train Epoch: 70 	 Training Loss: 2.194980
Train Epoch: 70 	 Training Loss: 1.913361
Train Epoch: 70 	 Validation Loss: 2.015663
Train Epoch: 70 	 Validation Loss: 1.897404
Train Epoch: 80 	 Training Loss: 1.910613
Train Epoch: 80 	 Validation Loss: 1.892200
Train Epoch: 80 	 Training Loss: 2.101968
Train Epoch: 80 	 Validation Loss: 1.949995
Train Epoch: 90 	 Training Loss: 1.908479
Train Epoch: 90 	 Validation Loss: 1.888026
Train Epoch: 90 	 Training Loss: 2.038503
Train Epoch: 90 	 Validation Loss: 1.907293
Using device:  cpu
Using device:  cpu
Beginning training ...
Beginning training ...
Train Epoch: 0 	 Training Loss: 2.106684
Train Epoch: 0 	 Validation Loss: 2.026943
Train Epoch: 0 	 Training Loss: 9.645555
Train Epoch: 0 	 Validation Loss: 8.899230
Train Epoch: 10 	 Training Loss: 1.994739
Train Epoch: 10 	 Validation Loss: 1.965414
Train Epoch: 10 	 Training Loss: 5.671867
Train Epoch: 10 	 Validation Loss: 5.356868
Train Epoch: 20 	 Training Loss: 1.956368
Train Epoch: 20 	 Validation Loss: 1.940694
Train Epoch: 20 	 Training Loss: 4.067919
Train Epoch: 20 	 Validation Loss: 3.916805
Train Epoch: 30 	 Training Loss: 1.930591
Train Epoch: 30 	 Validation Loss: 1.920791
Train Epoch: 30 	 Training Loss: 3.238045
Train Epoch: 30 	 Validation Loss: 3.165898
